employee,cluster,checkIn,checkOut,hoursWorked,status
Harsh Saxena,Delhi NCR Cluster,2026-07-18T06:14:00.000Z,2026-07-18T13:14:00.000Z,7,LATE_CHECKIN
Harsh Chatterjee,Unassigned,2026-07-18T06:09:00.000Z,2026-07-18T13:09:00.000Z,7,LATE_CHECKIN
Varun Pillai,Unassigned,2026-07-18T06:05:00.000Z,2026-07-18T16:05:00.000Z,10,LATE_CHECKIN
Simran Verma,Delhi NCR Cluster,2026-07-18T06:05:00.000Z,2026-07-18T13:05:00.000Z,7,LATE_CHECKIN
Ritu Malhotra,Delhi NCR Cluster,2026-07-18T05:58:00.000Z,,,LATE_CHECKIN
Rahul Ghosh,Delhi NCR Cluster,2026-07-18T05:51:00.000Z,2026-07-18T13:51:00.000Z,8,LATE_CHECKIN
Harsh Chauhan,Unassigned,2026-07-18T05:35:00.000Z,2026-07-18T13:35:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Unassigned,2026-07-18T05:30:00.000Z,2026-07-18T17:30:00.000Z,12,LATE_CHECKIN
Swati Ghosh,Gurgaon Solution Cluster,2026-07-18T05:28:00.000Z,2026-07-18T15:28:00.000Z,10,LATE_CHECKIN
Prashant Chauhan,Unassigned,2026-07-18T05:09:00.000Z,,,LATE_CHECKIN
Swati Chauhan,Faridabad Cluster,2026-07-18T05:08:00.000Z,2026-07-18T14:08:00.000Z,9,LATE_CHECKIN
Ankit Kumar,Faridabad Cluster,2026-07-18T05:06:00.000Z,2026-07-18T11:06:00.000Z,6,LATE_CHECKIN
Varun Malhotra,Faridabad Cluster,2026-07-18T05:01:00.000Z,2026-07-18T14:01:00.000Z,9,LATE_CHECKIN
Ishaan Singh,Unassigned,2026-07-18T04:59:00.000Z,2026-07-18T11:59:00.000Z,7,LATE_CHECKIN
Divya Agarwal,Faridabad Cluster,2026-07-18T04:46:00.000Z,2026-07-18T10:46:00.000Z,6,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-18T04:20:00.000Z,2026-07-18T14:20:00.000Z,10,OVERTIME
Rahul Gupta,Unassigned,2026-07-18T04:19:00.000Z,2026-07-18T11:19:00.000Z,7,ON_TIME
Neha Chauhan,Gurgaon Solution Cluster,2026-07-18T04:17:00.000Z,2026-07-18T08:17:00.000Z,4,MISSED_CHECKOUT
Gaurav Pillai,Faridabad Cluster,2026-07-18T03:40:00.000Z,,,MISSED_CHECKOUT
Diya Verma,Noida Cluster,2026-07-18T03:37:00.000Z,2026-07-18T11:37:00.000Z,8,ON_TIME
Meera Mehta,Delhi NCR Cluster,2026-07-18T03:35:00.000Z,2026-07-18T10:35:00.000Z,7,ON_TIME
Gaurav Pillai,Noida Cluster,2026-07-17T06:27:00.000Z,2026-07-17T13:27:00.000Z,7,LATE_CHECKIN
Ishaan Singh,Manesar Cluster,2026-07-17T06:25:00.000Z,2026-07-17T14:25:00.000Z,8,LATE_CHECKIN
Swati Tiwari,Gurgaon Solution Cluster,2026-07-17T06:23:00.000Z,2026-07-17T16:23:00.000Z,10,LATE_CHECKIN
